name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
2013 Abu Dhabi Grand Prix 🇦🇪,19,18,2013-11-03,18,2013,Charles Pic 🇫🇷,Caterham 🇲🇾,17,19,54,,0.0
2013 Australian Grand Prix 🇦🇺,16,21,2013-03-17,18,2013,Charles Pic 🇫🇷,Caterham 🇲🇾,1,22,56,,0.0
2013 Bahrain Grand Prix 🇧🇭,17,20,2013-04-21,21,2013,Charles Pic 🇫🇷,Caterham 🇲🇾,4,18,55,,0.0
2013 Belgian Grand Prix 🇧🇪,R,14,2013-08-25,16,2013,Charles Pic 🇫🇷,Caterham 🇲🇾,11,22,43,,0.0
2013 Brazilian Grand Prix 🇧🇷,R,20,2013-11-24,18,2013,Charles Pic 🇫🇷,Caterham 🇲🇾,19,18,69,,0.0
2013 British Grand Prix 🇬🇧,15,22,2013-06-30,18,2013,Charles Pic 🇫🇷,Caterham 🇲🇾,8,18,52,+1:07.759,0.0
2013 Canadian Grand Prix 🇨🇦,18,21,2013-06-09,R,2013,Charles Pic 🇫🇷,Caterham 🇲🇾,7,18,43,,0.0
2013 Chinese Grand Prix 🇨🇳,16,21,2013-04-14,18,2013,Charles Pic 🇫🇷,Caterham 🇲🇾,3,20,55,,0.0
2013 German Grand Prix 🇩🇪,17,20,2013-07-07,18,2013,Charles Pic 🇫🇷,Caterham 🇲🇾,9,22,59,,0.0
2013 Hungarian Grand Prix 🇭🇺,15,20,2013-07-28,14,2013,Charles Pic 🇫🇷,Caterham 🇲🇾,10,19,68,,0.0
2013 Indian Grand Prix 🇮🇳,R,20,2013-10-27,R,2013,Charles Pic 🇫🇷,Caterham 🇲🇾,16,21,1,,0.0
2013 Italian Grand Prix 🇮🇹,17,19,2013-09-08,18,2013,Charles Pic 🇫🇷,Caterham 🇲🇾,12,20,52,,0.0
2013 Japanese Grand Prix 🇯🇵,18,19,2013-10-13,R,2013,Charles Pic 🇫🇷,Caterham 🇲🇾,15,20,0,,0.0
2013 Korean Grand Prix 🇰🇷,14,20,2013-10-06,15,2013,Charles Pic 🇫🇷,Caterham 🇲🇾,14,19,55,+1:04.501,0.0
2013 Malaysian Grand Prix 🇲🇾,14,22,2013-03-24,15,2013,Charles Pic 🇫🇷,Caterham 🇲🇾,2,20,55,,0.0
2013 Monaco Grand Prix 🇲🇨,R,15,2013-05-26,15,2013,Charles Pic 🇫🇷,Caterham 🇲🇾,6,18,78,+1:02.590,0.0
2013 Singapore Grand Prix 🇸🇬,19,20,2013-09-22,16,2013,Charles Pic 🇫🇷,Caterham 🇲🇾,13,19,60,,0.0
2013 Spanish Grand Prix 🇪🇸,17,18,2013-05-12,21,2013,Charles Pic 🇫🇷,Caterham 🇲🇾,5,22,21,,0.0
2013 United States Grand Prix 🇺🇸,20,18,2013-11-17,19,2013,Charles Pic 🇫🇷,Caterham 🇲🇾,18,22,55,,0.0
