name,teammate_final_position,grid,date,final_position,season,teammate,constructor,round,teammate_grid,laps_completed,time,points
1970 French Grand Prix 🇫🇷,F,0,1970-07-05T00:00:00.000Z,F,1970,Pete Lovely 🇺🇸,Team Lotus 🇬🇧,6,0,0,,0.0
1970 French Grand Prix 🇫🇷,10,0,1970-07-05T00:00:00.000Z,F,1970,Graham Hill 🇬🇧,Team Lotus 🇬🇧,6,20,0,,0.0
1970 French Grand Prix 🇫🇷,8,0,1970-07-05T00:00:00.000Z,F,1970,John Miles 🇬🇧,Team Lotus 🇬🇧,6,18,0,,0.0
1970 French Grand Prix 🇫🇷,1,0,1970-07-05T00:00:00.000Z,F,1970,Jochen Rindt 🇦🇹,Team Lotus 🇬🇧,6,6,0,,0.0
1970 Spanish Grand Prix 🇪🇸,F,0,1970-04-19T00:00:00.000Z,F,1970,John Miles 🇬🇧,Team Lotus 🇬🇧,2,0,0,,0.0
1970 Spanish Grand Prix 🇪🇸,R,0,1970-04-19T00:00:00.000Z,F,1970,Jochen Rindt 🇦🇹,Team Lotus 🇬🇧,2,8,0,,0.0
1970 Spanish Grand Prix 🇪🇸,4,0,1970-04-19T00:00:00.000Z,F,1970,Graham Hill 🇬🇧,Team Lotus 🇬🇧,2,15,0,,0.0
1971 Dutch Grand Prix 🇳🇱,N,17,1971-06-20T00:00:00.000Z,R,1971,Skip Barber 🇺🇸,March-Ford 🇬🇧,4,24,57,,0.0
1971 Dutch Grand Prix 🇳🇱,4,17,1971-06-20T00:00:00.000Z,R,1971,Ronnie Peterson 🇸🇪,March-Ford 🇬🇧,4,13,57,,0.0
1971 Dutch Grand Prix 🇳🇱,N,17,1971-06-20T00:00:00.000Z,R,1971,Henri Pescarolo 🇫🇷,March-Ford 🇬🇧,4,15,57,,0.0
1971 French Grand Prix 🇫🇷,13,21,1971-07-04T00:00:00.000Z,R,1971,François Mazet 🇫🇷,March-Ford 🇬🇧,5,23,4,,0.0
1971 French Grand Prix 🇫🇷,N,21,1971-07-04T00:00:00.000Z,R,1971,Max Jean 🇫🇷,March-Ford 🇬🇧,5,22,4,,0.0
1971 French Grand Prix 🇫🇷,R,21,1971-07-04T00:00:00.000Z,R,1971,Henri Pescarolo 🇫🇷,March-Ford 🇬🇧,5,18,4,,0.0
1971 Monaco Grand Prix 🇲🇨,2,0,1971-05-23T00:00:00.000Z,F,1971,Ronnie Peterson 🇸🇪,March-Ford 🇬🇧,3,6,0,,0.0
1971 Monaco Grand Prix 🇲🇨,8,0,1971-05-23T00:00:00.000Z,F,1971,Henri Pescarolo 🇫🇷,March-Ford 🇬🇧,3,13,0,,0.0
1971 Monaco Grand Prix 🇲🇨,F,0,1971-05-23T00:00:00.000Z,F,1971,Skip Barber 🇺🇸,March-Ford 🇬🇧,3,0,0,,0.0
1971 South African Grand Prix 🇿🇦,10,25,1971-03-06T00:00:00.000Z,R,1971,Ronnie Peterson 🇸🇪,March-Ford 🇬🇧,1,13,5,,0.0
1971 South African Grand Prix 🇿🇦,11,25,1971-03-06T00:00:00.000Z,R,1971,Henri Pescarolo 🇫🇷,March-Ford 🇬🇧,1,18,5,,0.0
1971 South African Grand Prix 🇿🇦,R,25,1971-03-06T00:00:00.000Z,R,1971,John Love 🇿🇼,March-Ford 🇬🇧,1,21,5,,0.0
1971 Spanish Grand Prix 🇪🇸,R,20,1971-04-18T00:00:00.000Z,R,1971,Henri Pescarolo 🇫🇷,March-Ford 🇬🇧,2,11,46,,0.0
1971 Spanish Grand Prix 🇪🇸,R,20,1971-04-18T00:00:00.000Z,R,1971,Ronnie Peterson 🇸🇪,March-Ford 🇬🇧,2,13,46,,0.0
1972 Argentine Grand Prix 🇦🇷,R,21,1972-01-23T00:00:00.000Z,R,1972,Peter Gethin 🇬🇧,BRM 🇬🇧,1,18,1,,0.0
1972 Argentine Grand Prix 🇦🇷,R,21,1972-01-23T00:00:00.000Z,R,1972,Reine Wisell 🇸🇪,BRM 🇬🇧,1,7,1,,0.0
1972 Argentine Grand Prix 🇦🇷,10,21,1972-01-23T00:00:00.000Z,R,1972,Helmut Marko 🇦🇹,BRM 🇬🇧,1,19,1,,0.0
1972 Argentine Grand Prix 🇦🇷,9,21,1972-01-23T00:00:00.000Z,R,1972,Howden Ganley 🇳🇿,BRM 🇬🇧,1,13,1,,0.0
1972 Spanish Grand Prix 🇪🇸,R,22,1972-05-01T00:00:00.000Z,R,1972,Jean-Pierre Beltoise 🇫🇷,BRM 🇬🇧,3,7,6,,0.0
1972 Spanish Grand Prix 🇪🇸,R,22,1972-05-01T00:00:00.000Z,R,1972,Reine Wisell 🇸🇪,BRM 🇬🇧,3,10,6,,0.0
1972 Spanish Grand Prix 🇪🇸,R,22,1972-05-01T00:00:00.000Z,R,1972,Howden Ganley 🇳🇿,BRM 🇬🇧,3,20,6,,0.0
1972 Spanish Grand Prix 🇪🇸,R,22,1972-05-01T00:00:00.000Z,R,1972,Peter Gethin 🇬🇧,BRM 🇬🇧,3,21,6,,0.0
